FirstName,LastName,DateOfBirth,Gender,PhoneNumber,Address,City,SchoolName,Grade,CourseLanguage,Shift
Foster,Mixhel,07/12/2021,2,424-433-0460,8 Paget Hill,Ciekek,Moraine Valley Community College,9,3,2
Maddie,Duke,15/08/2022,1,356-977-3476,20777 Atwood Parkway,Otuzco,Evangelische Fachhochschule Nürnberg,8,3,2
Cassandry,Trinder,03/10/2022,1,327-729-3652,010 Hazelcrest Center,Przeworsk,Prempeh College,5,2,1
Cele,Briztman,23/11/2021,2,748-444-0514,721 Nelson Center,Santo Aleixo,Tabriz University,11,2,2
Dre,Venus,18/10/2022,1,148-897-4549,721 Westerfield Drive,Ávato,Osaka University,1,3,2
Bibi,Aleksich,14/07/2022,2,113-454-2820,68382 Luster Center,Liangshuihe,Ecole Normale Supérieure de Paris,8,1,1
Nilson,Jee,23/04/2022,1,532-846-5846,1588 Porter Center,Ashtarak,Universidade de Guarulhos,11,3,1
Adiana,Didsbury,25/04/2022,2,228-918-2448,543 Hauk Way,Queluz de Baixo,Assosa University,6,3,2
Lynnea,Lamanby,18/11/2021,1,837-153-8779,9315 Kim Park,Xom Tan Long,Ecole des Hautes Etudes Industrielles de Lille,7,1,2
Elberta,Skin,01/01/2022,2,139-620-0070,043 Mcbride Crossing,Fare,Seinan Gakuin University,10,3,2
Roshelle,Coopey,07/02/2022,1,142-785-4596,0 Florence Center,Nové Město nad Metují,Tokyo University of Agriculture,7,2,1
Nicky,Hankin,04/05/2022,1,858-640-9834,9 Rowland Crossing,San Francisco,Rani Durgavati University,5,1,1
Domini,Rickford,04/01/2022,2,209-387-5869,1 Helena Alley,Garden Grove,School of the Visual Arts,4,2,2
Emanuel,Schrader,07/01/2022,2,911-274-8672,91181 Pawling Pass,Szczecin,Mills Grae University,7,2,1
Harrison,Sills,20/02/2022,2,925-674-2634,3038 Cambridge Alley,Chervonohryhorivka,Ecole Nationale d'Ingénieurs des Techniques des Industries Agricoles et Alimentaires,5,2,1
Delora,Meatyard,21/05/2022,2,612-839-7495,26 Erie Hill,Klášterec nad Ohří,Universidad Dr. Rafael Belloso Chacín,10,1,2
Jeanette,Degenhardt,12/09/2022,2,473-553-3974,80 Hagan Hill,Malhiao,Bhavnagar University,2,3,1
Jordanna,Leyden,01/11/2021,1,835-422-9305,0332 Cherokee Center,Simpang,Trinity Theological Seminary,11,3,1
Alister,Barhem,25/08/2022,2,349-660-9509,0163 American Parkway,Dundee,Universidade Federal do Rio Grande do Norte,11,2,2
Murial,Redrup,18/06/2022,2,181-285-6424,3 Calypso Road,Kota Bharu,Fachhochschule St. Pölten,10,2,2
