FirstName,LastName,DateOfBirth,Gender,PhoneNumber,Address,City,SchoolName,Grade,CourseLanguage,Shift
Julieta,Rubinsaft,02/04/2022,1,712-609-7444,8902 Sutteridge Center,Drohiczyn,Pontifica Università Gregoriana,1,3,2
Winona,Wormstone,14/12/2021,1,874-274-5331,26 Lotheville Trail,Chagang,Université du Maine,3,3,2
Martin,Figliovanni,12/09/2022,2,237-198-1022,221 Susan Court,Dakhla,Medical Academy in Lublin,1,2,1
Esma,Olivo,02/05/2022,2,378-496-5527,598 Valley Edge Circle,Energeticheskiy,Arab Academy for Banking and Financial Sciences,5,3,1
Blondie,Quarton,14/11/2021,2,296-753-5388,1 Lillian Center,Ingenio,Baki Business University,11,3,2
Gussy,Lejeune,14/10/2022,2,766-546-9585,64329 Jackson Court,Västervik,Jiangxi Normal University,11,2,2
Marney,Odegaard,22/06/2022,1,156-681-1732,54398 Waywood Place,Dawe,Old Dominion University,10,2,1
Wilhelmine,Powland,03/05/2022,1,957-523-4908,13 Linden Park,Idkū,Nagpur University,4,1,2
Benedick,Noorwood,20/01/2022,2,423-481-0260,68948 Warbler Plaza,Ujmisht,Rush University,7,3,2
Gillan,Mocher,27/11/2021,1,802-787-2849,7 Canary Road,Regla,Imam Sadiq University,4,1,2
Audra,Puckey,15/11/2021,1,392-724-0001,7 Nobel Court,Guogan,Toho Gakuen School of Music,7,2,2
Pooh,Busse,15/10/2022,2,956-674-0057,41216 La Follette Lane,Wanfang,National-Louis University,1,3,2
Veronike,Greber,04/04/2022,1,248-707-6247,8 Di Loreto Pass,Istres,Universidad Pontificia Bolivariana,3,1,1
Horatia,Lillywhite,13/12/2021,1,781-528-0756,345 Jenifer Plaza,Menanga,GC University,8,1,1
Bruce,Mottinelli,19/05/2022,1,637-425-3034,40037 Thompson Place,Nyzhnya Krynka,Indira Gandhi Institute of Medical Sciences,9,2,1
Urson,Heinonen,23/07/2022,2,665-652-7370,81408 Bowman Crossing,Saint-Maurice-l'Exil,Université de Dschang,6,1,2
Crin,Philpot,02/10/2022,1,444-609-8512,12 Dahle Road,Marcq-en-Barœul,University of Lodz,4,3,1
Seumas,Mayman,11/12/2021,1,249-145-7287,3 Chinook Road,Matanzas,St. Petersburg State Theatre Arts Academy,4,1,2
Darlleen,Danielian,30/08/2022,1,543-561-6108,8 Haas Lane,Carot,Universidad Motolinía del Pedregal,8,2,2
Cort,Shackesby,04/09/2022,1,289-238-2630,8 Weeping Birch Hill,Jiaogong,Nanjing Institute of Meteorology,7,3,1
Thomasin,Prodrick,09/03/2022,1,312-685-6423,01703 Golden Leaf Parkway,Zhongcheng,Université de Montpellier I,1,3,2
Damaris,Bottby,25/05/2022,2,759-221-3608,03 Chinook Hill,Sainte-Thérèse,Chuka University,2,1,2
