FirstName,LastName,DateOfBirth,Gender,PhoneNumber,Address,City,SchoolName,Grade,CourseLanguage,Shift
Godart,Cuerda,13/07/2022,1,702-426-8644,34 Reindahl Plaza,Las Vegas,Huston-Tillotson College,11,2,1
Valentino,Fleetwood,06/02/2022,1,621-788-2561,76 Dunning Plaza,Río Tercero,Hirosaki University,1,3,2
Shelly,Dundridge,03/07/2022,2,814-805-9362,1285 Texas Hill,Zhubei,Bryant University,5,2,2
Darcie,Latore,18/04/2022,1,849-663-2017,223 Jana Crossing,Mino,Universidad de Cuautitlan Izcalli,11,3,2
Ingeborg,Belch,24/01/2022,2,939-345-9639,91121 Donald Junction,El Quebrachal,Beijing University of Posts and Telecommunications,10,3,1
Cassi,Yair,10/03/2022,2,507-673-0660,27 Susan Alley,Sambilawang,Amity University,2,1,2
Marla,McElhinney,01/03/2022,1,311-572-2439,4 Hoepker Hill,Golubac,Carl von Ossietzky Universität Oldenburg,11,2,1
Otho,Malter,16/12/2021,1,816-889-9009,54 Rieder Point,Kansas City,Fukui University,3,1,2
Athene,Palfreeman,11/12/2021,1,159-884-8887,02609 Leroy Avenue,Valongo,Osmania University,9,1,2
Modestia,Yven,07/06/2022,1,986-161-5850,1 Mayfield Junction,Maiduguri,Universidad de Medellín,7,1,1
Muffin,Gerleit,13/12/2021,2,515-219-4533,3 Tennyson Lane,Paprotnia,"Institute of Teachers Education, Tengku Ampuan Afzan",2,2,1
Mathilda,Clemot,23/11/2021,1,119-113-5142,49 Mockingbird Parkway,Portelândia,Beijing Medical University,10,2,1
Charlene,Suddock,22/12/2021,2,863-549-4096,282 Marcy Terrace,Złotniki,St. Petersburg State Marine Technical University,6,3,2
Marchall,Tebbet,18/01/2022,2,193-779-6293,9982 Grover Alley,Rancamaya,Maria Curie-Sklodowska University Lublin,6,1,2
Trix,Anfonsi,06/02/2022,1,613-773-4850,763 Maywood Center,Kourou,American InterContinental University - Atlanta,2,3,1
Richmond,Sleicht,10/12/2021,1,233-752-8576,084 Heath Alley,Fushan,"University of Wales, Lampeter",9,3,1
Glenna,Biddlestone,25/01/2022,2,816-171-9403,00 Declaration Street,Tigbinan,Ohio State University - Mansfield,7,3,2
Norri,Torra,21/09/2022,1,513-698-8155,54417 Briar Crest Court,La Unión,Life University,7,3,2
Munmro,Skottle,31/12/2021,2,436-823-5524,876 Arrowood Center,Ujar,"State Film, Television and Theatre Higher School Leon Schiller in Lodz",1,3,2
Peggy,Aindriu,19/02/2022,2,698-798-5250,7883 Loeprich Road,Mama,American College Of Dubai,1,2,2
Bibbie,Lief,17/06/2022,1,728-546-6142,99240 Scott Alley,Cerquilho,Université de Ouagadougou,1,2,1
Kelsy,Boltwood,22/02/2022,2,578-494-7293,71297 Macpherson Terrace,Ko Si Chang,"Muthesius-Hochschule, Fachhochschule für Kunst und Gestaltung",1,2,1
Candi,Rosellini,18/04/2022,1,265-857-4890,594 Drewry Terrace,Riebiņi,Trinity College Carmarthen,8,2,2
Donella,MacHarg,12/03/2022,1,612-413-0312,227 Melrose Street,Stockholm,University of Dohuk (Kurdistan Region),6,3,2
Wendie,MacParland,30/03/2022,1,213-592-1091,72330 Banding Avenue,Hakodate,University of Nottingham,11,2,2
Arnie,De la croix,17/05/2022,1,969-573-9499,69041 Gulseth Point,Naru,Technical University of Mombasa,3,1,2
Juliet,Fonteyne,27/12/2021,2,697-697-2768,7 Barnett Alley,Mokil,University of Tennessee Space Institute,7,3,1
Gloriana,Lochet,05/09/2022,1,731-979-9713,9 Anzinger Park,Gradec,The Boston Conservatory,5,2,2
Raeann,Van der Linde,26/12/2021,2,287-247-2190,38176 Hintze Pass,Huangshui,"Evangelische Fachhochschule Berlin, Fachhochschule für Sozialarbeit und Sozialpädagogik",10,1,2
Malvina,Needs,19/05/2022,1,674-429-0993,47899 Logan Place,Falāvarjān,Halmstad University College,6,1,2
