Id,FirstName,LastName,DateOfBirth,Gender,PhoneNumber,Address,City,SchoolNumber,Grade,CourseLanguage,Shift,CreatedAt
1,Brenna,Orchart,1/19/2012,2,112-644-8736,6 West Lane,Laraos,33,11,2,2,3/16/2022
2,Cami,Sutherby,12/26/2015,1,549-624-5281,9900 High Crossing Court,Taremskoye,250,4,1,2,12/31/2021
3,Waly,Byforth,7/4/2012,1,791-253-2928,685 6th Trail,Newmarket on Fergus,14,5,3,1,10/30/2021
4,Benedick,Yandle,5/1/2011,2,622-684-5118,4186 Eastlawn Street,Ingarö,164,11,3,1,12/18/2021
5,Katrinka,Khalid,11/20/2010,2,589-956-0454,27 Sommers Center,Himaya,163,5,3,2,5/26/2022
6,Mariya,Manley,11/15/2013,2,682-156-0318,7069 Clyde Gallagher Pass,Göteborg,191,11,1,1,4/23/2022
7,Murial,Grubbe,3/8/2006,2,574-973-0304,6768 Manitowish Terrace,Mirsíni,217,1,2,1,1/31/2022
8,Celine,Turrell,6/21/2016,2,271-665-5832,22 Blackbird Crossing,Kil’mez’,87,8,2,1,10/22/2021
9,Jaine,Lebarree,7/28/2013,1,192-648-1685,189 Westport Alley,Sidzina,87,10,1,2,4/5/2022
10,Cathi,Samarth,8/28/2012,2,199-251-3674,27 High Crossing Park,Dasi,162,8,1,2,6/23/2022
11,Carroll,Swansborough,4/5/2010,1,621-493-7824,69 Manitowish Trail,Chishan,114,9,2,2,1/27/2022
12,Shaw,Longo,2/20/2013,2,208-535-7584,70096 Tennyson Park,Jönköping,172,2,3,1,4/5/2022
13,Sidonnie,Flude,9/16/2014,1,412-922-6591,2 Drewry Circle,Pridonskoy,247,3,1,2,4/23/2022
14,Cristionna,Chislett,2/24/2010,2,837-441-1305,37376 Dottie Center,Gunungtua,125,7,3,1,1/24/2022
15,Gwendolyn,Beeres,8/8/2013,2,711-901-9808,16 Corben Drive,Czechowice-Dziedzice,297,4,2,1,2/19/2022
